id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,
4968479759795103,NsJtdF69x,6791653000,杼久,上午结束papurika汇报，无论结果如何，暂时总算解决一件眼下大事。打算中午去好好吃一顿午饭，连续吃四个三明治之后似乎已经丧失了生活的希望。当冒着热气的炸猪排咖喱饭端上来时，尽管是食堂，美味程度依旧令我热泪盈眶。这才是人该吃的东西。于是发现自己留学最大的阻碍之一是，吃白人饭。昨晚就在预想，今天中午一定要吃炸猪排。点海豚友畔家的外卖也好，去食堂吃也好，一定要吃配着白米饭的炸猪排。不过是吃了几顿草，对炸肉的欲望就已经上升到近乎执念的程度。一向以为我对食物没什么欲望，毕竟经历了六年难以言喻的食堂的折磨，甚至可以做到连续一星期吃同样的东西。这在一个美食大国听起来似乎很荒谬，但我身处美食荒漠中的荒漠。我的味觉无比糟糕，来杨梅第一天竟然写下“这里有美味的食堂”，如今也很难再想象高中食堂究竟难吃到什么程度，才会发出这样的感叹。我觉得即使在我面前放一盘西湖醋鱼，我都会说酸酸甜甜真好吃，然后一扫而光。更为离谱的是去年夏天，天气暑热，懒得做饭也不知道吃什么，于是连续吃了一星期的生鸡蛋拌饭。每当我把这件事情讲给别人听时，对方总是一脸不可思议。不过也确实是营养的饭菜，碳水蛋白质都补充到，再吃一碟醋拌黄瓜——后来甚至懒到不愿意单独把黄瓜分出来，一同切碎拌到鸡蛋饭里，这样维生素也有补充到。感谢zuzu提供的食谱，让懒得吃饭也懒得做饭的人可以迅速完成一天的能量补充。十分钟内结束进食，把两个同样惨白的盘子和碗丢入水池，后来变成一个大一点的灰碗。吃饭的究极目的是提供能量，既然已经补充完毕，也没有什么再值得留恋的。然而当连吃饭的欲望都逐渐减退时，似乎一切都逐渐向着无欲无求的方向发展，到最终活着的欲望也会衰退。所以还是要吃点好的。新鲜出炉的炸猪排十分酥脆，比在保温盒里焖久了的要好很多。咖喱汤里浮着土豆块和胡萝卜块。忽然想到前几天孤高的原动力的采访，zuzu被问最讨厌的食物，答曰papurika。谁会想到用彩椒煮咖喱呢？吃下去后感觉一切都不好了。又想起高考前最后吃的东西似乎也是炸猪排，一晃已经又到冬天——过去一年半多。唉，冬天。去快递站碰碰运气吧，也许能遇到小猫。之前扑空很多次，我至今都不知道那只猫具体多大，虽然在照片上看起来小小一只。不过猫这种生物不能用照片上的大小来衡量体积。草丛里有个东西在蹦，以为是大喜鹊——猫！？小小的一只，蹦来蹦去，一下子不知道跑到哪去。我朝着它最后出现的地方跑去，却听到身后有动静。猛然回头，才发现猫不知道什么时候已经跑到后面去。于是蹲下来向着它前进，往前挪了不到几步，它竟然向着我跳过来！一爪印在右腿内侧。只是些浮土，不凭想象根本看不出爪印的形状。于是不断调高相机的对比度，才勉强留下一张能看出轮廓的照片。倒头睡到天昏地暗。醒来时不过两点半，也只是比平时晚起来一个小时而已。但一觉醒来，感觉头脑都宽阔许多。熬夜熬得精神错乱，反射弧都比正常人长一截。人还是需要睡眠。最近和zuzu的作息高度重合，具体表现为在各自地方时凌晨三点的时候醒着，以及吃很少的东西。我不是昼夜颠倒，是基本不怎么睡。睡眠质量奇低。咖啡奶茶是万万碰不得的，甚至连茶饮料也会失眠，瞪着眼睛躺到凌晨四点。这样痛痛快快的睡一觉倒格外令我震惊。也不是特别想睡觉，只是不想去听课。明明只是两个半小时，发着呆一下子就过去，坐在教室里却煎熬的，尤其是公共课。出去走走吧，不知道美术馆有没有换新展。果然换了，吴门画派的地方都挂上了油画。乍一看不知主题，大块的红黑白裹挟着原始的冲击闯入视线。柳枝裹着一团绿布飞舞空中，白色的树干像女人弯折的躯体（不知道为什么我会有这种感觉）。三楼小长廊还在施工，四楼也只开一半。新进教师的展。讲真，看到第一幅就让我很失望。似乎叫月夜泛舟什么，像一句古诗的名字，远远看去是黑夜行船，倒不觉得什么。凑近逐一解读元素，船头放着熊猫玩偶、兔爷，船顶棚是北奥的标志，不同肤色的女孩子斜倚在船上——好个oneworldonedream！堆堆砌砌的，倒像看到了一百年前欧洲画家笔下那些穿着丝绸、拿着折扇娇首弄姿的西洋女人肖像，背景里一定有洒金屏风、小瓷盘和乌木八宝格。倒像是从未来华的画家见了几张这种肖像产生的灵感，又碰巧感兴趣水墨，于是大笔一挥，为背景挥毫泼墨。当头一棒就没了兴趣，只是走马观花地看下去。好像联欢会闭幕的舞台返场，男的女的老的少的，穿着红的绿的蓝的紫的，乌泱泱一起涌到台上唱唱跳跳。忽然被什么声音吓了一跳，原来是视频。从前可以进去的小空间里放着一个装置，一条举着树枝的机械臂。那树枝挥来挥去，好像某个原始部族的大祭司在举行什么仪式。脑子里突然蹦进来一句诗，“打鼓打鼓急打鼓，大巫邀神小巫舞”。盯着机械臂看许久，才反应过来旁边有解释牌。原来是人工智能方面，不知道为什么我会想到祭祀。可能我的潜意识更相信玄学而非科学吧，不知道是不是与zuzu相关的原因。倘若横滨当选，一定要在行程中去弓弦羽神社拜一拜，水琴御守也是要求的——又开始白日说梦话。回过神来，开始读解释牌上的文字。没戴眼镜，严重的散光让每一行字之间的空隙趋近于无，影子和字层层叠压，越发的读不懂，反倒有别样的震撼。不过即使能看清大概也读不懂，即使读懂字大概也不能理解在做什么。果然是实验艺术。这栋宿舍楼里的实验艺术与人文似乎有着奇妙的吸引力。我和室友都对这专业有着莫名的好奇，大概因为是不了解吧。难以理解的是，也有实验艺术的对人文感兴趣，先有在讲座里表达希望考人文研，后有在宿舍楼群里抓人文同学聊天。也许是真的有兴趣吧，也许如此。从美术馆出来天已经快黑了。明明才三点半不到。一路上神样佛样和Megalovania的旋律不停在脑中争来斗去，只好高唱着塩ツ辛いナマ臭い生き血がかしましい前进。毕竟是冬天，精神状态比不知道什么时候炸毛的头发更难以把控。杨树的叶子竟然还绿着，像夏天一样。已经十一月中，不知道他们会坚持到什么时候。也许一场狂风之后就全部消失了吧。印象中不记得杨树什么时候落叶，不过北区的银杏叶倒是都落下，只留下声嘶力竭的枝干撕扯天空，看了让人心中不快。然而又不得不从那里走，因此每走那一段路我都是脚步加快逃窜过去。走到冰柜前，想也没想就从里面揪出来草莓口味。等冰凉的触感唤醒我的手，再传导到我的大脑，才望着牛奶哑然失笑。我没有什么特别喜欢的味道，一眼在堆杂着十几种牛奶中锁定草莓，不得不说是潜移默化的影响。果然如此、果然如此。有些倦了，我指的是这次行程和此刻在码字的我。但实在不想看美学的书，于是借此机会消磨时间。我的时间总是很多，然后被我一点一点浪费掉，最终变成赶ddl。但都是我自找的，24点截止的稿子能在23：55尚未停笔。我总是在做一些莫名其妙的事情，比如突然心血来潮写假名书法之类的。也不读书，只是把时间都花在这种奇奇怪怪又毫无用途的事情上。实话实讲，我几乎是从来没努力过。似乎每张照片都写到了。那就先这样。过神来，开始读解释牌上的文字。没戴眼镜，严重的散光让每一行字之间的空隙趋近于无，影子和字层层叠压，越发的读不懂，反倒有别样的震撼。不过即使能看清大概也读不懂，即使读懂字大概也不能理解在做什么。果然是实验艺术。这栋宿舍楼里的实验艺术与人文似乎有着奇妙的吸引力。我和室友都对这专业有着莫名的好奇，大概因为是不了解吧。难以理解的是，也有实验艺术的对人文感兴趣，先有在讲座里表达希望考人文研，后有在宿舍楼群里抓人文同学聊天。也许是真的有兴趣吧，也许如此。从美术馆出来天已经快黑了。明明才三点半不到。一路上神样佛样和Megalovania的旋律不停在脑中争来斗去，只好高唱着塩ツ辛いナマ臭い生き血がかしましい前进。毕竟是冬天，精神状态比不知道什么时候炸毛的头发更难以把控。杨树的叶子竟然还绿着，像夏天一样。已经十一月中，不知道他们会坚持到什么时候。也许一场狂风之后就全部消失了吧。印象中不记得杨树什么时候落叶，不过北区的银杏叶倒是都落下，只留下声嘶力竭的枝干撕扯天空，看了让人心中不快。然而又不得不从那里走，因此每走那一段路我都是脚步加快逃窜过去。走到冰柜前，想也没想就从里面揪出来草莓口味。等冰凉的触感唤醒我的手，再传导到我的大脑，才望着牛奶哑然失笑。我没有什么特别喜欢的味道，一眼在堆杂着十几种牛奶中锁定草莓，不得不说是潜移默化的影响。果然如此、果然如此。有些倦了，我指的是这次行程和此刻在码字的我。但实在不想看美学的书，于是借此机会消磨时间。我的时间总是很多，然后被我一点一点浪费掉，最终变成赶ddl。但都是我自找的，24点截止的稿子能在23：55尚未停笔。我总是在做一些莫名其妙的事情，比如突然心血来潮写假名书法之类的。也不读书，只是把时间都花在这种奇奇怪怪又毫无用途的事情上。实话实讲，我几乎是从来没努力过。似乎每张照片都写到了。那就先这样。,,,,,0,5,4,2023/11/15 23:15,Note 10 Pro,"['https://wx3.sinaimg.cn/large/007pD5ckly1hjw745gja1j31wr0u0q92.jpg', 'https://wx1.sinaimg.cn/large/007pD5ckly1hjw74h3sgaj30sm0clwh3.jpg', 'https://wx2.sinaimg.cn/large/007pD5ckly1hjw745uxvbj30qy0xgjw9.jpg', 'https://wx3.sinaimg.cn/large/007pD5ckly1hjw747mos3j31uo0u0qcu.jpg', 'https://wx4.sinaimg.cn/large/007pD5ckly1hjw748fd5aj31uo0u0til.jpg', 'https://wx4.sinaimg.cn/large/007pD5ckly1hjw74926hxj30u01uodow.jpg', 'https://wx2.sinaimg.cn/large/007pD5ckly1hjw749i7obj30qy0iy79b.jpg', 'https://wx3.sinaimg.cn/large/007pD5ckly1hjw74o3tglj30u0130q84.jpg', 'https://wx3.sinaimg.cn/large/007pD5ckly1hjw74oteotj30u01uok2a.jpg']",,,北京,中性
4968472750065281,NsJhV0gYV,7203198712,要多多Dollar,今天在南门小吃街买了两个宵夜都很好吃没有踩雷一个是芋泥西多士八块钱八个现选现裹蛋液现炸要等个五分钟热乎着很脆脆一个是老宵夜了1.5小的2中的2.5大的3超大猜猜我这个是哪个尺寸的？猜错了吧🙈是中它居然是中我看着它没熟的时候还没这么小个没想到缩水了但是还是很多肉现选现烤要烤十分钟啊好久下次直接奔这家华仔生蚝🦪还有吃到了烤蜜薯🍠但是呢并不是很蜜五块钱一个还好我只吃了一口下次还要去吃炸香蕉南门居然有炸香蕉了自选一整根香蕉六块钱要等六分钟这次就没有卖了气但是➕了绿码下次一定吃,,,,,0,17,9,2023/11/15 22:47,iPhone客户端,['https://wx3.sinaimg.cn/large/007RtT2ogy1hjw65qf3wij30u00u045x.jpg'],,,广东,正向
4968448578291091,NsIEVyMTh,5678214964,朝北开的窗户,十三余归凤鸣这个双层上衫我真的，超爱！这个绿披帛也是双层的，很有质感！这个下裙也是真的重不愧是7米摆，谢谢你这么大方，感觉裙子有点短了但是也不敢换大一码，承受不住这个重量,,,,,0,25,24,2023/11/15 21:11,十三余超话,"['https://wx2.sinaimg.cn/large/006chd6kgy1hjw3ghjyhcj31qa1qa7wh.jpg', 'https://wx2.sinaimg.cn/large/006chd6kgy1hjw3gk31ldj323x23xnpd.jpg', 'https://wx3.sinaimg.cn/large/006chd6kgy1hjw3gkw8knj322e22ekjl.jpg', 'https://wx1.sinaimg.cn/large/006chd6kgy1hjw3gi4iwaj31ki1ki1kx.jpg', 'https://wx2.sinaimg.cn/large/006chd6kgy1hjw3git093j31x01x0e81.jpg', 'https://wx2.sinaimg.cn/large/006chd6kgy1hjw3gjdiqpj31v11v17wh.jpg']",,,广东,正向
4968436614826389,NsIlDkfyZ,6901918548,加入灰原哀粉你们别骂我了,#名侦探柯南#和朋友一起凑了个热闹#奈雪联名名侦探柯南#为了琴酒大哥和黑皮帅哥还有大家都在嗑的国民小情侣买了我朋友反馈🍰好吃，基德冰箱贴也很帅气，拍照技术不行涉及到一些隐私就用绿幕码起来了。,,,,"名侦探柯南,奈雪联名名侦探柯南",0,16,52,2023/11/15 20:24,Android,"['https://wx2.sinaimg.cn/large/007x5KiUgy1hjw1wyevhfj30u01hc41q.jpg', 'https://wx3.sinaimg.cn/large/007x5KiUgy1hjw1xx3cgaj30u01hcwha.jpg', 'https://wx3.sinaimg.cn/large/007x5KiUgy1hjw1zhfi41j31hc0u0n6z.jpg']",,,广东,正向
4968412885290624,NsHJmmckE,7738765561,袁单作者虐恋深柜之家,【】作为目睹mf抢主持人的吃瓜路人，我想说，可能，也许...mf不是因为pf给丽丽建黑超建才又建p黑超，又抢主持人的。我看到的时间线。8.4pf发现msl的单词错误。8.5绿江排雷排雷msl文盲，一句怕是p/ri/est打多了导致msl被群嘲。8.5付蟑螂测挂msl，嘲讽丽丽对p的感情。8.8小说测同样嘲讽丽丽对p的感情。（我图中的富婆姐姐在这个厕所）8.9富婆姐姐带领mf建了黑超，和pf打，发动钞能力拿下主持人。8.10富婆姐姐发动钞能力拿下msl黑超8.11富婆姐姐发帖，说是pf先建的黑超。挂的一个没打码的pf在msl黑超发言的图，日期是7.31，但这个pf是去p的黑超发言和富婆姐姐战斗过的。（限制图片，我拼不下去了，你们想看的各凭本事吧。）我怀疑，这是富婆姐姐主页查成分发现的。因为我能找到的，最早的pf建黑超是在7.30。所以我合理怀疑，富婆姐姐建p黑超前根本不知道msl黑超的存在。不过我只是怀疑，毕竟我还怀疑p木是一对呢。（ps：这位富婆姐姐是对小恶魔脱粉回踩的。小恶魔你还不赶紧回来，你的富婆都跑光了。）,,,,,1,19,19,2023/11/15 18:50,,"['https://wx3.sinaimg.cn/large/008rJ4rngy1hjvzfi6zx4j30go0qydi4.jpg', 'https://wx4.sinaimg.cn/large/008rJ4rngy1hjvzfiien2j30go0lzq4f.jpg', 'https://wx3.sinaimg.cn/large/008rJ4rngy1hjvzfitew1j30go0lzabg.jpg', 'https://wx1.sinaimg.cn/large/008rJ4rngy1hjvzfj4pl3j30go0ozaci.jpg']",,,湖北,负向
4975011821259616,NvtoO5hGo,1861496342,Hoka_Sariel,摆脱了绿码t后怒穿三套皮肤这边建议办走秀会,,,,,0,0,0,2023/12/3 23:51,iPhone客户端,,,,上海,中性
4975006830562780,NvtgL2mp6,5085808525,我爱芒果VV,守护我的绿码🐎🐎🐎,,,,,0,1,0,2023/12/3 23:32,HUAWEI Mate30 Pro 5G,['https://wx2.sinaimg.cn/large/005ybx7Lgy1hkh0r5fqfkj30u01p8jza.jpg'],,,四川,中性
4974993093431552,NvsUBeoHC,7764388771,一颗青柠ing,哈利波特魔法觉醒黑市今日xyt:龙龙档案*6，绿衣服*1，可官（不扫码）v渠，华渠，米渠,,,,,0,0,0,2023/12/3 22:37,哈利波特魔法觉醒黑市超话,"['https://wx4.sinaimg.cn/large/008tsAcXgy1hkgyy511hrj31us0u0nam.jpg', 'https://wx1.sinaimg.cn/large/008tsAcXgy1hkgyy5nzonj31us0u0nc3.jpg', 'https://wx4.sinaimg.cn/large/008tsAcXgy1hkgyy7g63zj335c2d0hdv.jpg', 'https://wx4.sinaimg.cn/large/008tsAcXgy1hkgyy87d4bj31us0u0k74.jpg', 'https://wx3.sinaimg.cn/large/008tsAcXgy1hkgyy9ew80j31us0u0wrf.jpg', 'https://wx4.sinaimg.cn/large/008tsAcXgy1hkgyyahq8nj31us0u07if.jpg', 'https://wx4.sinaimg.cn/large/008tsAcXgy1hkgyyb6i0mj31us0u0k5g.jpg']",,,浙江,中性
4974988270503597,NvsMP270x,6471962871,加缪的十三姨,抓到个抱着走夜路都有安全感的绿码,,,,,0,0,6,2023/12/3 22:18,iPhone客户端,['https://wx1.sinaimg.cn/large/0073ZHbVly1hkgym8frmxj32c0340hdv.jpg'],,,江苏,负向
4974982780947877,NvsDY3YAl,1708533224,国际旅游岛商报,【海南一地警方打掉5个团伙，抓获64人|海上夜闻·视听汇】○最新最全！三亚各区备案幼儿园名单公布○多地“绿码”重现？网友：怎么回事！○大爆雷！C罗被索赔超10亿美元○祝贺海南姑娘陈艺文！O网页链接,,,,,0,0,0,2023/12/3 21:56,微博网页版,['https://wx1.sinaimg.cn/large/65d625e8gy1hkgxeze17dj20zk0f3ad5.jpg'],,,,中性
